,company,year,kms_driven,fuel_type
0,Hyundai,2007,45000.0,Petrol
3,Hyundai,2014,28000.0,Petrol
4,Ford,2014,36000.0,Diesel
6,Ford,2012,41000.0,Diesel
7,Hyundai,2013,25000.0,Petrol
8,Ford,2016,24530.0,Diesel
9,Maruti,2015,60000.0,Petrol
10,Skoda,2010,60000.0,Petrol
11,Maruti,2015,30000.0,Petrol
12,Hyundai,2014,32000.0,Petrol
13,Mahindra,2015,48660.0,Diesel
14,Hyundai,2007,45000.0,Petrol
16,Audi,2017,4000.0,Petrol
17,Audi,2014,16934.0,Diesel
18,Mahindra,2016,43000.0,Diesel
19,Maruti,2014,35550.0,Petrol
20,Mahindra,2016,43000.0,Diesel
21,Mahindra,2016,39522.0,Diesel
22,Maruti,2015,39000.0,Petrol
23,Hyundai,2012,55000.0,Petrol
24,Hyundai,2012,55000.0,Petrol
25,Hyundai,2012,55000.0,Petrol
26,Maruti,2017,72000.0,Petrol
27,Maruti,2016,15975.0,Diesel
28,Maruti,2008,70000.0,Petrol
29,Mahindra,2017,23452.0,Diesel
30,Maruti,2014,35522.0,Diesel
31,Mahindra,2015,48508.0,Diesel
32,Maruti,2017,15487.0,Petrol
33,Maruti,2013,39000.0,Petrol
34,Maruti,2013,39000.0,Petrol
35,Toyota,2012,82000.0,Diesel
36,Renault,2018,20000.0,Diesel
37,Skoda,2012,68000.0,Diesel
38,Maruti,2017,32000.0,Diesel
39,Renault,2012,38000.0,Diesel
40,Renault,2013,27000.0,Diesel
41,Honda,2011,33000.0,Petrol
42,Maruti,2015,60000.0,Petrol
43,Maruti,2013,46000.0,Diesel
44,Honda,2013,46000.0,Diesel
45,Honda,2015,36000.0,Diesel
46,Honda,2015,55000.0,Petrol
47,Datsun,2017,16000.0,Petrol
48,Maruti,2010,36000.0,Petrol
49,Mitsubishi,2015,47000.0,Diesel
50,Mahindra,2017,23452.0,Diesel
51,Maruti,2014,35522.0,Diesel
52,Mahindra,2015,48508.0,Diesel
53,Maruti,2017,15487.0,Petrol
54,Maruti,2013,39000.0,Petrol
55,Maruti,2013,39000.0,Petrol
56,Mahindra,2015,35000.0,Diesel
57,Maruti,2017,30874.0,Petrol
58,Honda,2017,15000.0,Diesel
59,Maruti,2013,29685.0,Petrol
60,Ford,2012,41000.0,Diesel
61,Hyundai,2013,25000.0,Petrol
62,Tata,2017,130000.0,Diesel
63,Ford,2016,24530.0,Diesel
64,Tata,2017,130000.0,Diesel
65,Mahindra,2012,19000.0,Diesel
66,Volkswagen,2014,60000.0,Petrol
67,Skoda,2010,60000.0,Petrol
68,Maruti,2015,30000.0,Petrol
70,Chevrolet,2010,41000.0,Petrol
71,Renault,2012,35000.0,Diesel
72,Honda,2015,54000.0,Petrol
73,Mini,2013,13000.0,Petrol
74,Datsun,2017,16000.0,Petrol
75,Skoda,2011,38200.0,Diesel
76,Honda,2015,22000.0,Petrol
77,Honda,2015,22000.0,Petrol
78,Renault,2014,50000.0,Diesel
79,Mini,2013,13500.0,Petrol
80,Mahindra,2015,30000.0,Diesel
81,Mahindra,2014,50000.0,Diesel
82,Mahindra,2013,20000.0,Diesel
83,Ford,2017,39000.0,Petrol
84,Honda,2012,30000.0,Petrol
86,Volkswagen,2019,3600.0,Diesel
87,Hyundai,2009,32000.0,Petrol
88,Toyota,2010,38000.0,Diesel
